7;;;;;;;;;;
11;;;;;;;;;;
8;8;8;8;8;8;8;;;;
1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800
;;;;;;;;;;
655;585;522;466;;;;;;;
246;220;196;175;;;;;;;
164;146;131;117;;;;;;;
383;342;305;272;;;;;;;
334;298;266;237;;;;;;;
972;867;774;691;;;;;;;
414;369;330;294;;;;;;;
;;;;;;;;;;
100;100;140;120;88;772;50;40;;;
300;300;300;80;80;80;90;90;;;
88;120;130;88;75;59;58;55;;;
400;680;199;40;140;140;140;140;;;
530;530;530;70;70;70;70;70;;;
680;680;390;390;350;180;180;180;;;
480;380;330;320;300;300;300;300;;;
